date,state,district,lat,lon,rainfall_mm,rain_3day,rain_7day
2023-03-17,Sikkim,East Sikkim,27.33,88.61,3,26.0,112.0
2023-03-17,Meghalaya,East Khasi Hills,25.57,91.88,35,83.0,165.0
2023-03-18,Sikkim,East Sikkim,27.33,88.61,26,38.0,112.0
2023-03-18,Meghalaya,East Khasi Hills,25.57,91.88,26,90.0,182.0
2023-03-19,Sikkim,East Sikkim,27.33,88.61,35,64.0,128.0
2023-03-19,Meghalaya,East Khasi Hills,25.57,91.88,33,94.0,191.0
2023-03-20,Sikkim,East Sikkim,27.33,88.61,8,69.0,125.0
2023-03-20,Meghalaya,East Khasi Hills,25.57,91.88,24,83.0,181.0
2023-03-21,Sikkim,East Sikkim,27.33,88.61,15,58.0,110.0
2023-03-21,Meghalaya,East Khasi Hills,25.57,91.88,16,73.0,182.0
2023-03-22,Sikkim,East Sikkim,27.33,88.61,13,36.0,109.0
2023-03-22,Meghalaya,East Khasi Hills,25.57,91.88,21,61.0,184.0
2023-03-23,Sikkim,East Sikkim,27.33,88.61,5,33.0,105.0
2023-03-23,Meghalaya,East Khasi Hills,25.57,91.88,28,65.0,183.0
2023-03-24,Sikkim,East Sikkim,27.33,88.61,23,41.0,125.0
2023-03-24,Meghalaya,East Khasi Hills,25.57,91.88,5,54.0,153.0
2023-03-25,Sikkim,East Sikkim,27.33,88.61,34,62.0,133.0
2023-03-25,Meghalaya,East Khasi Hills,25.57,91.88,12,45.0,139.0
2023-03-26,Sikkim,East Sikkim,27.33,88.61,3,60.0,101.0
2023-03-26,Meghalaya,East Khasi Hills,25.57,91.88,17,34.0,123.0
2023-03-27,Sikkim,East Sikkim,27.33,88.61,24,61.0,117.0
2023-03-27,Meghalaya,East Khasi Hills,25.57,91.88,38,67.0,137.0
2023-03-28,Sikkim,East Sikkim,27.33,88.61,38,65.0,140.0
2023-03-28,Meghalaya,East Khasi Hills,25.57,91.88,2,57.0,123.0
2023-03-29,Sikkim,East Sikkim,27.33,88.61,4,66.0,131.0
2023-03-29,Meghalaya,East Khasi Hills,25.57,91.88,12,52.0,114.0
2023-03-30,Sikkim,East Sikkim,27.33,88.61,37,79.0,163.0
2023-03-30,Meghalaya,East Khasi Hills,25.57,91.88,35,49.0,121.0
2023-03-31,Sikkim,East Sikkim,27.33,88.61,13,54.0,153.0
2023-03-31,Meghalaya,East Khasi Hills,25.57,91.88,30,77.0,146.0
2023-04-01,Sikkim,East Sikkim,27.33,88.61,13,63.0,132.0
2023-04-01,Meghalaya,East Khasi Hills,25.57,91.88,21,86.0,155.0
2023-04-02,Sikkim,East Sikkim,27.33,88.61,19,45.0,148.0
2023-04-02,Meghalaya,East Khasi Hills,25.57,91.88,0,51.0,138.0
2023-04-03,Sikkim,East Sikkim,27.33,88.61,13,45.0,137.0
2023-04-03,Meghalaya,East Khasi Hills,25.57,91.88,12,33.0,112.0
2023-04-04,Sikkim,East Sikkim,27.33,88.61,7,39.0,106.0
2023-04-04,Meghalaya,East Khasi Hills,25.57,91.88,30,42.0,140.0
2023-04-05,Sikkim,East Sikkim,27.33,88.61,15,35.0,117.0
2023-04-05,Meghalaya,East Khasi Hills,25.57,91.88,38,80.0,166.0
2023-04-06,Sikkim,East Sikkim,27.33,88.61,13,35.0,93.0
2023-04-06,Meghalaya,East Khasi Hills,25.57,91.88,25,93.0,156.0
2023-04-07,Sikkim,East Sikkim,27.33,88.61,15,43.0,95.0
2023-04-07,Meghalaya,East Khasi Hills,25.57,91.88,35,98.0,161.0
2023-04-08,Sikkim,East Sikkim,27.33,88.61,20,48.0,102.0
2023-04-08,Meghalaya,East Khasi Hills,25.57,91.88,18,78.0,158.0
2023-04-09,Sikkim,East Sikkim,27.33,88.61,24,59.0,107.0
2023-04-09,Meghalaya,East Khasi Hills,25.57,91.88,29,82.0,187.0
2023-04-10,Sikkim,East Sikkim,27.33,88.61,34,78.0,128.0
2023-04-10,Meghalaya,East Khasi Hills,25.57,91.88,22,69.0,197.0
2023-04-11,Sikkim,East Sikkim,27.33,88.61,19,77.0,140.0
2023-04-11,Meghalaya,East Khasi Hills,25.57,91.88,16,67.0,183.0
2023-04-12,Sikkim,East Sikkim,27.33,88.61,23,76.0,148.0
2023-04-12,Meghalaya,East Khasi Hills,25.57,91.88,32,70.0,177.0
2023-04-13,Sikkim,East Sikkim,27.33,88.61,31,73.0,166.0
2023-04-13,Meghalaya,East Khasi Hills,25.57,91.88,29,77.0,181.0
2023-04-14,Sikkim,East Sikkim,27.33,88.61,6,60.0,157.0
2023-04-14,Meghalaya,East Khasi Hills,25.57,91.88,30,91.0,176.0
2023-04-15,Sikkim,East Sikkim,27.33,88.61,20,57.0,157.0
2023-04-15,Meghalaya,East Khasi Hills,25.57,91.88,13,72.0,171.0
2023-04-16,Sikkim,East Sikkim,27.33,88.61,23,49.0,156.0
2023-04-16,Meghalaya,East Khasi Hills,25.57,91.88,20,63.0,162.0
2023-04-17,Sikkim,East Sikkim,27.33,88.61,26,69.0,148.0
2023-04-17,Meghalaya,East Khasi Hills,25.57,91.88,2,35.0,142.0
2023-04-18,Sikkim,East Sikkim,27.33,88.61,36,85.0,165.0
2023-04-18,Meghalaya,East Khasi Hills,25.57,91.88,14,36.0,140.0
2023-04-19,Sikkim,East Sikkim,27.33,88.61,9,71.0,151.0
2023-04-19,Meghalaya,East Khasi Hills,25.57,91.88,1,17.0,109.0
2023-04-20,Sikkim,East Sikkim,27.33,88.61,16,61.0,136.0
2023-04-20,Meghalaya,East Khasi Hills,25.57,91.88,35,50.0,115.0
2023-04-21,Sikkim,East Sikkim,27.33,88.61,37,62.0,167.0
2023-04-21,Meghalaya,East Khasi Hills,25.57,91.88,37,73.0,122.0
2023-04-22,Sikkim,East Sikkim,27.33,88.61,26,79.0,173.0
2023-04-22,Meghalaya,East Khasi Hills,25.57,91.88,18,90.0,127.0
2023-04-23,Sikkim,East Sikkim,27.33,88.61,9,72.0,159.0
2023-04-23,Meghalaya,East Khasi Hills,25.57,91.88,12,67.0,119.0
2023-04-24,Sikkim,East Sikkim,27.33,88.61,21,56.0,154.0
2023-04-24,Meghalaya,East Khasi Hills,25.57,91.88,14,44.0,131.0
2023-04-25,Sikkim,East Sikkim,27.33,88.61,24,54.0,142.0
2023-04-25,Meghalaya,East Khasi Hills,25.57,91.88,36,62.0,153.0
2023-04-26,Sikkim,East Sikkim,27.33,88.61,15,60.0,148.0
2023-04-26,Meghalaya,East Khasi Hills,25.57,91.88,31,81.0,183.0
2023-04-27,Sikkim,East Sikkim,27.33,88.61,35,74.0,167.0
2023-04-27,Meghalaya,East Khasi Hills,25.57,91.88,21,88.0,169.0
2023-04-28,Sikkim,East Sikkim,27.33,88.61,16,66.0,146.0
2023-04-28,Meghalaya,East Khasi Hills,25.57,91.88,31,83.0,163.0
2023-04-29,Sikkim,East Sikkim,27.33,88.61,31,82.0,151.0
2023-04-29,Meghalaya,East Khasi Hills,25.57,91.88,29,81.0,174.0
2023-04-30,Sikkim,East Sikkim,27.33,88.61,10,57.0,152.0
2023-04-30,Meghalaya,East Khasi Hills,25.57,91.88,22,82.0,184.0
2023-05-01,Sikkim,East Sikkim,27.33,88.61,10,51.0,141.0
2023-05-01,Meghalaya,East Khasi Hills,25.57,91.88,8,59.0,178.0
2023-05-02,Sikkim,East Sikkim,27.33,88.61,34,54.0,151.0
2023-05-02,Meghalaya,East Khasi Hills,25.57,91.88,31,61.0,173.0
2023-05-03,Sikkim,East Sikkim,27.33,88.61,11,55.0,147.0
2023-05-03,Meghalaya,East Khasi Hills,25.57,91.88,34,73.0,176.0
2023-05-04,Sikkim,East Sikkim,27.33,88.61,3,48.0,115.0
2023-05-04,Meghalaya,East Khasi Hills,25.57,91.88,33,98.0,188.0
2023-05-05,Sikkim,East Sikkim,27.33,88.61,2,16.0,101.0
2023-05-05,Meghalaya,East Khasi Hills,25.57,91.88,4,71.0,161.0
2023-05-06,Sikkim,East Sikkim,27.33,88.61,3,8.0,73.0
2023-05-06,Meghalaya,East Khasi Hills,25.57,91.88,0,37.0,132.0
2023-05-07,Sikkim,East Sikkim,27.33,88.61,26,31.0,89.0
2023-05-07,Meghalaya,East Khasi Hills,25.57,91.88,8,12.0,118.0
2023-05-08,Sikkim,East Sikkim,27.33,88.61,40,69.0,119.0
2023-05-08,Meghalaya,East Khasi Hills,25.57,91.88,14,22.0,124.0
2023-05-09,Sikkim,East Sikkim,27.33,88.61,4,70.0,89.0
2023-05-09,Meghalaya,East Khasi Hills,25.57,91.88,9,31.0,102.0
2023-05-10,Sikkim,East Sikkim,27.33,88.61,0,44.0,78.0
2023-05-10,Meghalaya,East Khasi Hills,25.57,91.88,13,36.0,81.0
2023-05-11,Sikkim,East Sikkim,27.33,88.61,32,36.0,107.0
2023-05-11,Meghalaya,East Khasi Hills,25.57,91.88,29,51.0,77.0
2023-05-12,Sikkim,East Sikkim,27.33,88.61,23,55.0,128.0
2023-05-12,Meghalaya,East Khasi Hills,25.57,91.88,3,45.0,76.0
2023-05-13,Sikkim,East Sikkim,27.33,88.61,39,94.0,164.0
2023-05-13,Meghalaya,East Khasi Hills,25.57,91.88,40,72.0,116.0
2023-05-14,Sikkim,East Sikkim,27.33,88.61,39,101.0,177.0
2023-05-14,Meghalaya,East Khasi Hills,25.57,91.88,30,73.0,138.0
2023-05-15,Sikkim,East Sikkim,27.33,88.61,31,109.0,168.0
2023-05-15,Meghalaya,East Khasi Hills,25.57,91.88,1,71.0,125.0
2023-05-16,Sikkim,East Sikkim,27.33,88.61,0,70.0,164.0
2023-05-16,Meghalaya,East Khasi Hills,25.57,91.88,34,65.0,150.0
2023-05-17,Sikkim,East Sikkim,27.33,88.61,35,66.0,199.0
2023-05-17,Meghalaya,East Khasi Hills,25.57,91.88,26,61.0,163.0
2023-05-18,Sikkim,East Sikkim,27.33,88.61,0,35.0,167.0
2023-05-18,Meghalaya,East Khasi Hills,25.57,91.88,1,61.0,135.0
2023-05-19,Sikkim,East Sikkim,27.33,88.61,33,68.0,177.0
2023-05-19,Meghalaya,East Khasi Hills,25.57,91.88,17,44.0,149.0
2023-05-20,Sikkim,East Sikkim,27.33,88.61,34,67.0,172.0
2023-05-20,Meghalaya,East Khasi Hills,25.57,91.88,18,36.0,127.0
2023-05-21,Sikkim,East Sikkim,27.33,88.61,1,68.0,134.0
2023-05-21,Meghalaya,East Khasi Hills,25.57,91.88,32,67.0,129.0
2023-05-22,Sikkim,East Sikkim,27.33,88.61,27,62.0,130.0
2023-05-22,Meghalaya,East Khasi Hills,25.57,91.88,11,61.0,139.0
2023-05-23,Sikkim,East Sikkim,27.33,88.61,6,34.0,136.0
2023-05-23,Meghalaya,East Khasi Hills,25.57,91.88,6,49.0,111.0
2023-05-24,Sikkim,East Sikkim,27.33,88.61,33,66.0,134.0
2023-05-24,Meghalaya,East Khasi Hills,25.57,91.88,9,26.0,94.0
2023-05-25,Sikkim,East Sikkim,27.33,88.61,15,54.0,149.0
2023-05-25,Meghalaya,East Khasi Hills,25.57,91.88,12,27.0,105.0
2023-05-26,Sikkim,East Sikkim,27.33,88.61,39,87.0,155.0
2023-05-26,Meghalaya,East Khasi Hills,25.57,91.88,33,54.0,121.0
2023-05-27,Sikkim,East Sikkim,27.33,88.61,16,70.0,137.0
2023-05-27,Meghalaya,East Khasi Hills,25.57,91.88,22,67.0,125.0
2023-05-28,Sikkim,East Sikkim,27.33,88.61,17,72.0,153.0
2023-05-28,Meghalaya,East Khasi Hills,25.57,91.88,25,80.0,118.0
2023-05-29,Sikkim,East Sikkim,27.33,88.61,5,38.0,131.0
2023-05-29,Meghalaya,East Khasi Hills,25.57,91.88,23,70.0,130.0
2023-05-30,Sikkim,East Sikkim,27.33,88.61,25,47.0,150.0
2023-05-30,Meghalaya,East Khasi Hills,25.57,91.88,29,77.0,153.0
2023-05-31,Sikkim,East Sikkim,27.33,88.61,36,66.0,153.0
2023-05-31,Meghalaya,East Khasi Hills,25.57,91.88,15,67.0,159.0
2023-06-01,Sikkim,East Sikkim,27.33,88.61,108,169.0,246.0
2023-06-01,Meghalaya,East Khasi Hills,25.57,91.88,5,49.0,152.0
2023-06-02,Sikkim,East Sikkim,27.33,88.61,189,333.0,396.0
2023-06-02,Meghalaya,East Khasi Hills,25.57,91.88,84,104.0,203.0
2023-06-03,Sikkim,East Sikkim,27.33,88.61,24,321.0,404.0
2023-06-03,Meghalaya,East Khasi Hills,25.57,91.88,140,229.0,321.0
2023-06-04,Sikkim,East Sikkim,27.33,88.61,0,213.0,387.0
2023-06-04,Meghalaya,East Khasi Hills,25.57,91.88,90,314.0,386.0
2023-06-05,Sikkim,East Sikkim,27.33,88.61,135,159.0,517.0
2023-06-05,Meghalaya,East Khasi Hills,25.57,91.88,122,352.0,485.0
2023-06-06,Sikkim,East Sikkim,27.33,88.61,189,324.0,681.0
2023-06-06,Meghalaya,East Khasi Hills,25.57,91.88,194,406.0,650.0
2023-06-07,Sikkim,East Sikkim,27.33,88.61,85,409.0,730.0
2023-06-07,Meghalaya,East Khasi Hills,25.57,91.88,36,352.0,671.0
2023-06-08,Sikkim,East Sikkim,27.33,88.61,85,359.0,707.0
2023-06-08,Meghalaya,East Khasi Hills,25.57,91.88,167,397.0,833.0
2023-06-09,Sikkim,East Sikkim,27.33,88.61,195,365.0,713.0
2023-06-09,Meghalaya,East Khasi Hills,25.57,91.88,164,367.0,913.0
2023-06-10,Sikkim,East Sikkim,27.33,88.61,20,300.0,709.0
2023-06-10,Meghalaya,East Khasi Hills,25.57,91.88,13,344.0,786.0
2023-06-11,Sikkim,East Sikkim,27.33,88.61,176,391.0,885.0
2023-06-11,Meghalaya,East Khasi Hills,25.57,91.88,185,362.0,881.0
2023-06-12,Sikkim,East Sikkim,27.33,88.61,89,285.0,839.0
2023-06-12,Meghalaya,East Khasi Hills,25.57,91.88,36,234.0,795.0
2023-06-13,Sikkim,East Sikkim,27.33,88.61,24,289.0,674.0
2023-06-13,Meghalaya,East Khasi Hills,25.57,91.88,149,370.0,750.0
2023-06-14,Sikkim,East Sikkim,27.33,88.61,176,289.0,765.0
2023-06-14,Meghalaya,East Khasi Hills,25.57,91.88,181,366.0,895.0
2023-06-15,Sikkim,East Sikkim,27.33,88.61,172,372.0,852.0
2023-06-15,Meghalaya,East Khasi Hills,25.57,91.88,22,352.0,750.0
2023-06-16,Sikkim,East Sikkim,27.33,88.61,27,375.0,684.0
2023-06-16,Meghalaya,East Khasi Hills,25.57,91.88,4,207.0,590.0
2023-06-17,Sikkim,East Sikkim,27.33,88.61,178,377.0,842.0
2023-06-17,Meghalaya,East Khasi Hills,25.57,91.88,156,182.0,733.0
2023-06-18,Sikkim,East Sikkim,27.33,88.61,179,384.0,845.0
2023-06-18,Meghalaya,East Khasi Hills,25.57,91.88,161,321.0,709.0
2023-06-19,Sikkim,East Sikkim,27.33,88.61,28,385.0,784.0
2023-06-19,Meghalaya,East Khasi Hills,25.57,91.88,125,442.0,798.0
2023-06-20,Sikkim,East Sikkim,27.33,88.61,128,335.0,888.0
2023-06-20,Meghalaya,East Khasi Hills,25.57,91.88,167,453.0,816.0
2023-06-21,Sikkim,East Sikkim,27.33,88.61,128,284.0,840.0
2023-06-21,Meghalaya,East Khasi Hills,25.57,91.88,39,331.0,674.0
2023-06-22,Sikkim,East Sikkim,27.33,88.61,15,271.0,683.0
2023-06-22,Meghalaya,East Khasi Hills,25.57,91.88,90,296.0,742.0
2023-06-23,Sikkim,East Sikkim,27.33,88.61,24,167.0,680.0
2023-06-23,Meghalaya,East Khasi Hills,25.57,91.88,161,290.0,899.0
2023-06-24,Sikkim,East Sikkim,27.33,88.61,24,63.0,526.0
2023-06-24,Meghalaya,East Khasi Hills,25.57,91.88,93,344.0,836.0
2023-06-25,Sikkim,East Sikkim,27.33,88.61,19,67.0,366.0
2023-06-25,Meghalaya,East Khasi Hills,25.57,91.88,177,431.0,852.0
