landslide_id,latitude,longitude,state,district,landslide_type,trigger,date,volume_m3x1000,casualties
LS2100,27.267635680264434,88.59756401943714,Sikkim,East Sikkim,Mudslide,Road Cutting,2024-03-17,281,6
LS2101,24.61086316568501,92.0837073656786,Mizoram,Lunglei,Mudslide,Anthropogenic,2020-08-02,71,12
LS2102,23.217328447530317,92.82277568845375,Assam,Cachar,Debris Slide,Heavy Rainfall,2020-02-24,120,12
LS2103,26.84751000655831,96.78946320594751,Tripura,Dhalai,Earth Slide,Earthquake,2021-03-05,61,14
LS2104,23.86489898089533,89.61497389316862,Assam,Cachar,Rock Slide,Rainfall,2023-12-28,74,5
LS2105,27.13890744225425,88.78161507753666,Sikkim,East Sikkim,Rock Fall,Rainfall,2018-02-20,303,5
LS2106,25.142812788816062,89.65927303351073,Tripura,Dhalai,Rock Slide,Anthropogenic,2023-05-11,68,14
LS2107,25.82374122190722,91.05793591181663,Meghalaya,Jaintia Hills,Earth Slide,Anthropogenic,2018-12-15,137,2
LS2108,27.154161238189303,91.42340223531895,Mizoram,Aizawl,Rock Fall,Anthropogenic,2024-08-07,229,5
LS2109,27.232127714835933,88.59438532347284,Sikkim,East Sikkim,Debris Flow,Heavy Rainfall,2019-12-13,292,2
LS2110,24.95110543596016,94.20434022206292,Arunachal Pradesh,Tawang,Rock Fall,Anthropogenic,2018-05-14,128,5
LS2111,27.657640388043134,88.64061784138131,Nagaland,Mokokchung,Debris Flow,Anthropogenic,2024-08-12,348,13
LS2112,23.188657814766273,90.02328505239421,Assam,Karbi Anglong,Debris Flow,Anthropogenic,2019-08-06,46,1
LS2113,26.07026422391643,95.41816271188009,Arunachal Pradesh,Papum Pare,Mudslide,Road Cutting,2019-05-25,249,12
LS2114,24.915051114976833,90.45021573829837,Nagaland,Mokokchung,Earth Slide,Road Cutting,2022-11-29,51,10
LS2115,27.028451381627168,88.20603197414964,Sikkim,South Sikkim,Debris Slide,Earthquake,2024-08-01,496,1
LS2116,22.741390038867696,94.80641947371302,Nagaland,Mokokchung,Rock Fall,Earthquake,2022-12-17,479,5
LS2117,26.30870831672452,92.42553221971912,Arunachal Pradesh,Lower Subansiri,Rock Slide,Road Cutting,2021-11-26,219,6
LS2118,23.127599307495345,89.44742367392952,Manipur,Chandel,Rock Fall,Rainfall,2023-07-23,157,11
LS2119,25.228955451610375,90.83065441453151,Mizoram,Aizawl,Mudslide,Rainfall,2022-07-14,452,9
LS2120,27.397957295066842,88.68079883865002,Sikkim,South Sikkim,Debris Slide,Road Cutting,2018-07-31,114,5
LS2121,25.12869657043427,94.28425026209955,Arunachal Pradesh,Papum Pare,Rock Slide,Rainfall,2024-10-29,419,4
LS2122,25.80503404201602,92.9702626814836,Arunachal Pradesh,Papum Pare,Rock Slide,Heavy Rainfall,2019-04-10,246,2
LS2123,28.095918359604624,90.62675404235607,Arunachal Pradesh,Lower Subansiri,Debris Slide,Anthropogenic,2022-08-29,437,8
LS2124,25.24071883639388,89.30177771637048,Tripura,West Tripura,Debris Flow,Earthquake,2023-09-13,392,15
LS2125,24.157484416932245,95.11005563802802,Arunachal Pradesh,Tawang,Rock Fall,Anthropogenic,2023-09-11,146,14
LS2126,27.637915722271746,88.59394667774943,Sikkim,North Sikkim,Debris Flow,Road Cutting,2024-01-16,257,6
LS2127,27.077236065719873,91.39489048792497,Manipur,Chandel,Mudslide,Heavy Rainfall,2020-09-05,302,7
LS2128,22.761883794583813,94.70234636408676,Assam,Karbi Anglong,Debris Slide,Road Cutting,2022-05-01,349,13
LS2129,28.28894663022546,89.1362164282845,Arunachal Pradesh,Lower Subansiri,Earth Slide,Anthropogenic,2019-02-16,457,14
LS2130,25.655706520845367,92.11235267026818,Tripura,West Tripura,Debris Slide,Heavy Rainfall,2022-08-07,455,11
LS2131,25.316943605908392,96.72283267516795,Arunachal Pradesh,Tawang,Mudslide,Earthquake,2022-06-17,342,2
LS2132,27.656053105009597,91.42008457770389,Manipur,Chandel,Mudslide,Rainfall,2023-06-22,456,9
LS2133,27.316116904446247,88.20473765263029,Sikkim,East Sikkim,Rock Slide,Road Cutting,2019-02-08,399,11
LS2134,25.034736699277083,91.3514369335282,Meghalaya,Jaintia Hills,Rock Slide,Anthropogenic,2022-01-08,201,7
LS2135,25.68699790889256,93.09335255724343,Arunachal Pradesh,West Kameng,Debris Flow,Heavy Rainfall,2019-12-19,50,10
LS2136,25.486003514207706,93.24841417586848,Mizoram,Aizawl,Debris Flow,Road Cutting,2020-11-06,245,5
LS2137,27.173773184278964,88.39755680524344,Sikkim,South Sikkim,Mudslide,Earthquake,2021-05-10,337,7
LS2138,27.57182355085559,89.79295299198003,Nagaland,Dimapur,Rock Fall,Road Cutting,2019-03-13,131,7
LS2139,24.27523434129471,94.2935117159566,Manipur,Chandel,Rock Slide,Rainfall,2022-06-10,150,1
LS2140,27.85331507756372,88.20710655187338,Sikkim,South Sikkim,Mudslide,Heavy Rainfall,2020-02-18,327,5
LS2141,27.920422224437807,93.8170654800147,Arunachal Pradesh,Tawang,Mudslide,Road Cutting,2018-05-17,306,6
LS2142,27.95776687391596,90.94047213142609,Arunachal Pradesh,Tawang,Rock Fall,Heavy Rainfall,2020-04-02,77,13
LS2143,25.51076857358904,90.45274615641127,Manipur,Chandel,Debris Flow,Anthropogenic,2023-05-28,422,5
LS2144,25.309988333116173,88.67769424816082,Manipur,Imphal West,Debris Flow,Rainfall,2022-06-16,443,13
LS2145,27.244091811533625,88.12526789590811,Manipur,Imphal West,Earth Slide,Rainfall,2023-02-06,198,11
LS2146,24.78615299563485,93.74694341020754,Nagaland,Mokokchung,Mudslide,Rainfall,2020-08-15,251,1
LS2147,23.82820320044394,88.56895337044176,Manipur,Chandel,Rock Fall,Rainfall,2021-05-22,342,7
LS2148,26.195112849706035,90.99740481723268,Meghalaya,West Khasi Hills,Debris Flow,Earthquake,2019-07-10,208,8
LS2149,28.196284610471434,94.2683559247387,Manipur,Chandel,Earth Slide,Road Cutting,2024-08-02,390,12
LS2150,26.429531384960782,95.5032377496669,Arunachal Pradesh,Lower Subansiri,Earth Slide,Road Cutting,2021-02-19,26,12
LS2151,25.16029851636421,96.55499652866284,Manipur,Imphal West,Mudslide,Rainfall,2022-02-13,288,15
LS2152,24.88883785646624,89.70827705944971,Manipur,Imphal West,Rock Slide,Road Cutting,2019-01-11,349,4
LS2153,27.138516273838846,88.50812017831717,Sikkim,East Sikkim,Rock Slide,Earthquake,2020-04-28,310,4
LS2154,27.14621146682892,95.09779378849848,Assam,Cachar,Earth Slide,Rainfall,2021-02-09,449,3
LS2155,27.291082941345742,88.98933713100492,Arunachal Pradesh,Papum Pare,Rock Slide,Heavy Rainfall,2018-03-02,193,13
LS2156,22.59468650106696,90.38830757492477,Assam,Cachar,Debris Flow,Rainfall,2022-09-21,279,2
LS2157,25.712399221441633,91.56840921384487,Meghalaya,Jaintia Hills,Debris Flow,Earthquake,2018-06-27,382,13
LS2158,26.360044105232934,88.28035575559309,Nagaland,Dimapur,Rock Fall,Road Cutting,2022-10-13,361,2
LS2159,22.940944294598705,88.72711429669712,Tripura,Dhalai,Earth Slide,Heavy Rainfall,2018-09-27,74,5
LS2160,28.46776653516554,92.77501153688192,Manipur,Ukhrul,Rock Fall,Earthquake,2024-10-15,230,2
LS2161,25.496576285412296,92.20661268212608,Meghalaya,West Khasi Hills,Rock Fall,Road Cutting,2019-01-25,170,7
LS2162,24.029338778896676,96.58233265857213,Manipur,Chandel,Debris Slide,Road Cutting,2018-10-02,56,14
LS2163,25.447176231251085,91.02119627107552,Meghalaya,East Khasi Hills,Rock Slide,Earthquake,2024-04-19,297,6
LS2164,25.900341100301773,92.27575665307741,Meghalaya,Jaintia Hills,Debris Slide,Rainfall,2021-03-24,317,5
LS2165,25.967511110339128,89.91464925104806,Manipur,Imphal West,Debris Slide,Road Cutting,2020-07-07,443,2
LS2166,24.705366303692102,94.86345068743165,Manipur,Chandel,Earth Slide,Heavy Rainfall,2022-10-24,442,9
LS2167,27.8386504697791,88.82938376892986,Sikkim,North Sikkim,Mudslide,Rainfall,2020-01-14,455,3
LS2168,23.35124792490761,93.69854811389962,Mizoram,Aizawl,Rock Slide,Rainfall,2023-12-13,120,7
LS2169,24.545375890615997,91.33047783229304,Mizoram,Lunglei,Debris Slide,Anthropogenic,2024-05-13,315,2
LS2170,27.741365581674426,88.2448925591916,Sikkim,West Sikkim,Debris Slide,Road Cutting,2023-06-13,320,8
LS2171,23.79341379202648,92.61111675220994,Mizoram,Lunglei,Mudslide,Road Cutting,2019-03-31,155,11
LS2172,22.772504175626565,91.55737056478866,Tripura,Dhalai,Earth Slide,Rainfall,2018-02-01,114,5
LS2173,27.084965374567485,90.60502418095695,Assam,Dibrugarh,Rock Slide,Rainfall,2023-07-31,392,7
LS2174,24.78124467429142,94.33304137044396,Arunachal Pradesh,West Kameng,Earth Slide,Earthquake,2021-12-21,46,7
LS2175,27.948321014973274,88.51818324466315,Sikkim,South Sikkim,Earth Slide,Road Cutting,2022-09-07,158,2
LS2176,28.297198146198756,89.54685862520262,Mizoram,Aizawl,Earth Slide,Road Cutting,2022-01-22,55,7
LS2177,25.094376504979433,92.2798915075322,Meghalaya,West Khasi Hills,Debris Slide,Anthropogenic,2020-06-26,180,13
LS2178,25.56289970725289,89.02623975854698,Arunachal Pradesh,Tawang,Earth Slide,Heavy Rainfall,2021-12-02,189,12
LS2179,23.116827166666578,90.30371399801557,Arunachal Pradesh,West Kameng,Debris Flow,Earthquake,2019-09-19,399,13
LS2180,25.55674368221562,91.75835032158935,Meghalaya,West Khasi Hills,Earth Slide,Road Cutting,2024-05-01,339,11
LS2181,24.396833366943483,91.95786534707678,Manipur,Chandel,Rock Fall,Road Cutting,2021-05-25,417,5
LS2182,27.49710525007075,88.05120104575056,Sikkim,North Sikkim,Mudslide,Rainfall,2019-01-05,324,10
LS2183,25.981976444467143,96.58808329050511,Mizoram,Lunglei,Debris Slide,Rainfall,2023-01-17,475,13
LS2184,26.130035004420385,92.51230571685545,Assam,Cachar,Rock Slide,Road Cutting,2019-02-28,425,15
LS2185,23.005974792147384,93.81514382029347,Manipur,Chandel,Rock Slide,Heavy Rainfall,2022-11-29,234,9
LS2186,24.737111892607963,90.54604220752977,Arunachal Pradesh,Papum Pare,Rock Fall,Anthropogenic,2024-09-14,36,13
LS2187,24.478144530706373,93.02166891176562,Manipur,Imphal West,Rock Fall,Anthropogenic,2020-10-29,380,14
LS2188,22.989011924687304,93.97250895405453,Arunachal Pradesh,Papum Pare,Mudslide,Anthropogenic,2022-05-25,76,10
LS2189,25.3941718651043,91.01724939897059,Meghalaya,Ri-Bhoi,Debris Slide,Rainfall,2023-11-27,57,11
LS2190,22.609383226749195,90.77979463057493,Mizoram,Lunglei,Debris Flow,Anthropogenic,2023-06-15,108,4
LS2191,22.96299050580526,95.59985549817296,Arunachal Pradesh,West Kameng,Rock Slide,Earthquake,2024-01-20,437,12
LS2192,27.656971085178792,88.13882748518901,Sikkim,North Sikkim,Debris Flow,Rainfall,2019-11-10,379,8
LS2193,28.06654746374949,88.54953587991324,Sikkim,South Sikkim,Debris Slide,Road Cutting,2020-08-16,283,4
LS2194,27.923846028824748,89.74614558600312,Nagaland,Dimapur,Debris Slide,Earthquake,2022-12-10,246,13
LS2195,25.517440148925473,91.76794744056771,Nagaland,Dimapur,Debris Flow,Heavy Rainfall,2024-10-12,80,14
LS2196,26.347074217226684,95.86705250547013,Nagaland,Kohima,Earth Slide,Rainfall,2023-10-15,445,2
LS2197,27.078700981750146,90.45512169632221,Nagaland,Kohima,Earth Slide,Heavy Rainfall,2022-11-27,56,15
LS2198,27.807778642308044,96.37424734413648,Assam,Karbi Anglong,Rock Fall,Rainfall,2022-06-12,267,6
LS2199,28.467152107429747,91.37421406075991,Assam,Karbi Anglong,Rock Slide,Anthropogenic,2019-02-10,439,12
LS2200,23.32559752635523,90.58191457581941,Manipur,Imphal West,Rock Fall,Rainfall,2019-07-23,398,12
LS2201,26.19208954298129,96.15271740192944,Tripura,Dhalai,Rock Slide,Anthropogenic,2020-06-02,437,3
LS2202,27.15703579581238,90.13876203976841,Mizoram,Aizawl,Rock Slide,Rainfall,2020-09-03,224,11
LS2203,23.16514737174009,96.14632197095798,Tripura,West Tripura,Earth Slide,Earthquake,2018-03-09,333,9
LS2204,24.247631926651547,88.0140790234006,Assam,Dibrugarh,Mudslide,Heavy Rainfall,2024-05-26,223,3
LS2205,25.608793235895742,92.480163525514,Meghalaya,Ri-Bhoi,Earth Slide,Rainfall,2022-05-19,457,8
LS2206,27.017866454219842,88.70966801465157,Sikkim,South Sikkim,Mudslide,Heavy Rainfall,2019-03-01,405,10
LS2207,22.76601412977125,92.91412370686922,Manipur,Imphal West,Debris Slide,Heavy Rainfall,2023-03-19,366,8
LS2208,22.878603222193348,94.9857135973308,Arunachal Pradesh,West Kameng,Rock Fall,Rainfall,2021-04-16,113,1
LS2209,24.393574920298352,90.79068294643203,Assam,Kamrup,Rock Fall,Earthquake,2023-04-24,139,1
LS2210,24.64184505621218,95.02757410280583,Assam,Cachar,Debris Slide,Anthropogenic,2021-01-24,73,13
LS2211,27.836919102073686,94.6897693496766,Manipur,Ukhrul,Rock Fall,Anthropogenic,2020-02-05,264,12
LS2212,28.04586279976178,92.67348268181448,Tripura,Dhalai,Rock Slide,Rainfall,2022-10-05,50,7
LS2213,24.427268569287563,88.72062019967495,Arunachal Pradesh,Papum Pare,Debris Slide,Anthropogenic,2021-06-09,238,10
LS2214,26.638588850672917,91.16392285394792,Mizoram,Aizawl,Rock Slide,Rainfall,2021-12-15,324,7
LS2215,28.380163675165676,96.53113940742777,Nagaland,Mokokchung,Rock Slide,Rainfall,2022-07-22,196,9
LS2216,23.356676810175298,93.4681561298877,Arunachal Pradesh,Tawang,Rock Fall,Rainfall,2019-06-02,44,4
LS2217,24.797126410132666,93.10520177551707,Manipur,Ukhrul,Earth Slide,Heavy Rainfall,2023-01-17,495,6
LS2218,27.078506830791476,93.16529600500506,Manipur,Ukhrul,Earth Slide,Anthropogenic,2022-06-19,170,11
LS2219,28.26312031358996,88.2332200677773,Nagaland,Kohima,Debris Flow,Road Cutting,2023-10-22,208,15
LS2220,25.257484510508462,91.8401912106982,Meghalaya,Ri-Bhoi,Debris Slide,Road Cutting,2020-03-30,72,3
LS2221,26.19671488482765,92.17787247120798,Meghalaya,Jaintia Hills,Mudslide,Rainfall,2021-11-24,373,2
LS2222,27.608172304518753,94.40628193606491,Nagaland,Dimapur,Debris Slide,Rainfall,2019-12-15,416,6
LS2223,28.41079528038116,95.12859106250026,Assam,Kamrup,Debris Flow,Road Cutting,2018-04-18,194,9
LS2224,27.32197035773152,92.96482240533784,Manipur,Ukhrul,Earth Slide,Rainfall,2018-09-27,168,7
LS2225,27.11498730224819,95.41005459557552,Tripura,Dhalai,Rock Slide,Heavy Rainfall,2021-07-22,338,2
LS2226,26.580653943897488,91.1006330263243,Tripura,Dhalai,Earth Slide,Rainfall,2024-08-04,103,13
LS2227,25.517182718696247,95.8139046467745,Arunachal Pradesh,Lower Subansiri,Rock Slide,Earthquake,2019-09-19,165,3
LS2228,28.108427019834465,90.0292325624392,Arunachal Pradesh,Papum Pare,Earth Slide,Anthropogenic,2018-11-20,138,4
LS2229,26.25013416869154,93.52985450477378,Nagaland,Kohima,Rock Slide,Earthquake,2019-11-22,313,10
LS2230,26.452397240302524,94.48569491593545,Arunachal Pradesh,West Kameng,Earth Slide,Anthropogenic,2024-04-27,31,14
LS2231,27.634448354625118,88.58601697973704,Sikkim,East Sikkim,Earth Slide,Road Cutting,2018-05-05,264,15
LS2232,28.23990101972643,92.34650336357878,Nagaland,Mokokchung,Debris Slide,Road Cutting,2021-05-03,242,2
LS2233,27.22442531491974,88.54599423653858,Sikkim,West Sikkim,Mudslide,Rainfall,2021-07-31,385,14
LS2234,23.28459690931432,91.33486178245262,Manipur,Ukhrul,Earth Slide,Rainfall,2021-07-31,133,8
LS2235,25.060726350160348,92.40715431759547,Meghalaya,Ri-Bhoi,Earth Slide,Road Cutting,2020-10-13,453,15
LS2236,28.10250921149643,94.4901558593991,Arunachal Pradesh,Papum Pare,Debris Flow,Heavy Rainfall,2023-08-03,273,8
LS2237,25.484221638285053,88.81044185539406,Tripura,Dhalai,Rock Fall,Earthquake,2023-02-16,133,4
LS2238,22.80324242776735,92.45404783172658,Manipur,Imphal West,Debris Slide,Rainfall,2023-04-12,156,9
LS2239,27.800258869695334,88.68747108774579,Sikkim,East Sikkim,Mudslide,Rainfall,2022-06-29,36,10
LS2240,25.81933755972691,88.66178574768557,Assam,Cachar,Earth Slide,Road Cutting,2024-03-02,153,14
LS2241,25.953876674057135,91.37644500991937,Meghalaya,West Khasi Hills,Mudslide,Heavy Rainfall,2020-03-26,318,9
LS2242,22.77182011480245,89.23332736210769,Mizoram,Aizawl,Mudslide,Road Cutting,2023-10-29,243,3
LS2243,28.08821241317994,90.86677028583377,Arunachal Pradesh,Papum Pare,Rock Fall,Earthquake,2021-05-10,313,6
LS2244,25.3493555999882,88.14973259952083,Tripura,Dhalai,Mudslide,Rainfall,2019-03-25,223,10
LS2245,27.732594684721988,93.66334432542193,Nagaland,Mokokchung,Earth Slide,Road Cutting,2020-12-23,345,13
LS2246,26.00113966228584,89.53460855571993,Assam,Kamrup,Debris Slide,Rainfall,2022-04-07,85,14
LS2247,25.935421628424756,94.30468820027306,Assam,Kamrup,Debris Flow,Rainfall,2022-12-12,170,7
LS2248,26.643001565511153,91.69339668390434,Arunachal Pradesh,Lower Subansiri,Earth Slide,Road Cutting,2018-09-13,371,3
LS2249,28.488737210432895,92.3053388500906,Assam,Cachar,Rock Fall,Anthropogenic,2019-12-11,245,15
LS2250,24.625721931868878,94.94790805733867,Manipur,Chandel,Debris Slide,Rainfall,2020-12-18,322,8
LS2251,24.17403837553054,90.68649245071265,Assam,Dibrugarh,Mudslide,Anthropogenic,2020-04-29,363,12
LS2252,25.37882053921237,93.04438831212597,Tripura,Dhalai,Debris Slide,Anthropogenic,2021-03-24,72,10
LS2253,27.410264760783374,96.59147977052315,Mizoram,Lunglei,Debris Flow,Anthropogenic,2018-06-22,157,12
LS2254,25.896806199661604,91.16377757373091,Meghalaya,Ri-Bhoi,Earth Slide,Anthropogenic,2024-04-21,366,5
